[2024/05/12 04:47:41] - Namespace(Inc_coeff=1, att_method='tanh', attack_iters=10, batch_size=128, beta_init=100.0, beta_max=100000.0, chkpt_iters=50, dataset='cifar100', epochs=201, epsilon=0.03137254901960784, eq_vol=1, eval_method='sign', lr_chechpoint1=100, lr_chechpoint2=150, lr_max=0.1, lr_schedule='piecewise', manual_step=0, model='WideResNet', momentum=0.9, norm='l_inf', pgd_alpha=2.0, random_init=1, resume=0, seed=1, train_mode='adv_train', tune_period=10, weight_decay=0.0005, width_factor=10)
[2024/05/12 04:47:48] - Epoch 	 Train Time 	 Test Time 	 LR 	 beta 	 	 Train Loss 	 Train Acc 	 Train Adv Loss 	 Train Adv Acc 	 Train Surrogate Loss 	 Train Surrogate Acc 	 Test Loss 	 Test Acc 	 Test Adv Loss 	 Test Adv Acc 	 Test Surrogate Loss 	 Test Surrogate Acc 
[2024/05/12 05:06:38] - 0 		 933.8 	 	 196.4 	 	 0.1000 	 	  100.0 		 3.9926 	 0.0814 	 	 4.0302  	 0.0776  	 	 4.7731 	 0.0283  	 	 3.6381 	 0.1276  	 	 3.7199 	 0.1187  	 	 4.8636 	 0.0246
[2024/05/12 05:25:23] - 1 		 928.0 	 	 196.2 	 	 0.1000 	 	  100.0 		 3.3863 	 0.1777 	 	 3.4878  	 0.1622  	 	 4.8732 	 0.0391  	 	 3.1122 	 0.2393  	 	 3.3004 	 0.2079  	 	 5.1014 	 0.0454
[2024/05/12 05:44:07] - 2 		 928.6 	 	 196.0 	 	 0.1000 	 	  100.0 		 2.9636 	 0.2617 	 	 3.1302  	 0.2308  	 	 4.9936 	 0.0470  	 	 2.8425 	 0.2886  	 	 3.2024 	 0.2394  	 	 5.8822 	 0.0363
[2024/05/12 06:02:52] - 3 		 928.1 	 	 196.2 	 	 0.1000 	 	  100.0 		 2.6514 	 0.3221 	 	 2.8814  	 0.2752  	 	 5.1467 	 0.0489  	 	 2.4741 	 0.3544  	 	 2.8287 	 0.2957  	 	 5.5848 	 0.0552
[2024/05/12 06:21:35] - 4 		 927.5 	 	 196.1 	 	 0.1000 	 	  100.0 		 2.4227 	 0.3732 	 	 2.6958  	 0.3151  	 	 5.2189 	 0.0549  	 	 2.2591 	 0.4093  	 	 2.6300 	 0.3427  	 	 5.4494 	 0.0586
[2024/05/12 06:40:19] - 5 		 927.8 	 	 196.3 	 	 0.1000 	 	  100.0 		 2.2552 	 0.4100 	 	 2.5632  	 0.3423  	 	 5.2865 	 0.0597  	 	 2.1081 	 0.4436  	 	 2.6148 	 0.3561  	 	 5.9243 	 0.0535
[2024/05/12 06:59:03] - 6 		 927.6 	 	 195.7 	 	 0.1000 	 	  100.0 		 2.1117 	 0.4457 	 	 2.4461  	 0.3680  	 	 5.3319 	 0.0631  	 	 2.0228 	 0.4596  	 	 2.5364 	 0.3700  	 	 5.9939 	 0.0532
[2024/05/12 07:17:46] - 7 		 927.1 	 	 195.9 	 	 0.1000 	 	  100.0 		 2.0209 	 0.4661 	 	 2.3730  	 0.3835  	 	 5.3606 	 0.0694  	 	 1.9005 	 0.4904  	 	 2.4154 	 0.3898  	 	 5.8912 	 0.0604
[2024/05/12 07:36:28] - 8 		 926.8 	 	 195.6 	 	 0.1000 	 	  100.0 		 1.9319 	 0.4863 	 	 2.3003  	 0.3999  	 	 5.3903 	 0.0726  	 	 1.9759 	 0.4656  	 	 2.4660 	 0.3734  	 	 5.8776 	 0.0462
[2024/05/12 07:55:11] - 9 		 927.1 	 	 195.6 	 	 0.1000 	 	  100.0 		 1.8716 	 0.5031 	 	 2.2523  	 0.4119  	 	 5.4154 	 0.0747  	 	 1.8972 	 0.4902  	 	 2.4870 	 0.3990  	 	 6.1497 	 0.0766
[2024/05/12 08:13:53] - 10 		 926.6 	 	 195.2 	 	 0.1000 	 	  100.0 		 1.8076 	 0.5212 	 	 2.1957  	 0.4261  	 	 5.4219 	 0.0801  	 	 1.8091 	 0.5174  	 	 2.3971 	 0.4139  	 	 6.1561 	 0.0609
[2024/05/12 08:32:35] - 11 		 927.2 	 	 195.6 	 	 0.1000 	 	  100.0 		 1.7640 	 0.5301 	 	 2.1606  	 0.4324  	 	 5.4294 	 0.0814  	 	 1.7680 	 0.5200  	 	 2.3947 	 0.4132  	 	 6.2198 	 0.0640
[2024/05/12 08:51:18] - 12 		 926.6 	 	 195.7 	 	 0.1000 	 	  100.0 		 1.7180 	 0.5436 	 	 2.1233  	 0.4434  	 	 5.4481 	 0.0831  	 	 1.7325 	 0.5304  	 	 2.5425 	 0.4004  	 	 6.9852 	 0.0543
[2024/05/12 09:09:59] - 13 		 926.2 	 	 195.2 	 	 0.1000 	 	  100.0 		 1.6791 	 0.5536 	 	 2.0887  	 0.4506  	 	 5.4399 	 0.0867  	 	 1.6777 	 0.5464  	 	 2.2337 	 0.4383  	 	 5.8885 	 0.0588
[2024/05/12 09:28:41] - 14 		 926.2 	 	 195.4 	 	 0.1000 	 	  100.0 		 1.6354 	 0.5654 	 	 2.0533  	 0.4611  	 	 5.4679 	 0.0880  	 	 1.7399 	 0.5285  	 	 2.3629 	 0.4196  	 	 6.2337 	 0.0590
[2024/05/12 09:47:22] - 15 		 925.9 	 	 195.3 	 	 0.1000 	 	  100.0 		 1.6046 	 0.5707 	 	 2.0248  	 0.4644  	 	 5.4513 	 0.0905  	 	 1.6085 	 0.5608  	 	 2.2478 	 0.4358  	 	 6.2582 	 0.0573
[2024/05/12 10:06:04] - 16 		 926.1 	 	 195.3 	 	 0.1000 	 	  100.0 		 1.5719 	 0.5797 	 	 1.9966  	 0.4722  	 	 5.4522 	 0.0925  	 	 1.5805 	 0.5669  	 	 2.1980 	 0.4547  	 	 6.0590 	 0.0737
[2024/05/12 10:24:45] - 17 		 926.1 	 	 195.2 	 	 0.1000 	 	  100.0 		 1.5417 	 0.5872 	 	 1.9712  	 0.4785  	 	 5.4529 	 0.0953  	 	 1.6497 	 0.5552  	 	 2.3643 	 0.4329  	 	 6.5754 	 0.0607
[2024/05/12 10:43:26] - 18 		 926.0 	 	 195.3 	 	 0.1000 	 	  100.0 		 1.5217 	 0.5932 	 	 1.9565  	 0.4796  	 	 5.4728 	 0.0945  	 	 1.6363 	 0.5551  	 	 2.3150 	 0.4358  	 	 6.3177 	 0.0672
[2024/05/12 11:02:08] - 19 		 926.1 	 	 195.2 	 	 0.1000 	 	  100.0 		 1.4977 	 0.6001 	 	 1.9309  	 0.4873  	 	 5.4499 	 0.0981  	 	 1.5401 	 0.5801  	 	 2.3123 	 0.4363  	 	 6.7437 	 0.0561
[2024/05/12 11:20:48] - 20 		 925.1 	 	 194.7 	 	 0.1000 	 	  100.0 		 1.4755 	 0.6054 	 	 1.9142  	 0.4897  	 	 5.4639 	 0.0995  	 	 1.5673 	 0.5697  	 	 2.2708 	 0.4434  	 	 6.4336 	 0.0567
[2024/05/12 11:39:27] - 21 		 924.5 	 	 194.7 	 	 0.1000 	 	  100.0 		 1.4535 	 0.6120 	 	 1.8972  	 0.4956  	 	 5.4961 	 0.0991  	 	 1.6010 	 0.5619  	 	 2.3535 	 0.4294  	 	 6.7303 	 0.0512
[2024/05/12 11:58:06] - 22 		 924.7 	 	 194.7 	 	 0.1000 	 	  100.0 		 1.4385 	 0.6131 	 	 1.8838  	 0.4978  	 	 5.4797 	 0.1016  	 	 1.5125 	 0.5814  	 	 2.2106 	 0.4547  	 	 6.3402 	 0.0580
[2024/05/12 12:16:45] - 23 		 924.2 	 	 194.6 	 	 0.1000 	 	  100.0 		 1.4190 	 0.6202 	 	 1.8666  	 0.5035  	 	 5.4728 	 0.1035  	 	 1.5337 	 0.5742  	 	 2.2731 	 0.4504  	 	 6.6942 	 0.0624
[2024/05/12 12:35:24] - 24 		 924.6 	 	 194.7 	 	 0.1000 	 	  100.0 		 1.4076 	 0.6220 	 	 1.8531  	 0.5050  	 	 5.4701 	 0.1056  	 	 1.5040 	 0.5873  	 	 2.1763 	 0.4586  	 	 6.1924 	 0.0687
[2024/05/12 12:54:03] - 25 		 924.4 	 	 194.6 	 	 0.1000 	 	  100.0 		 1.3828 	 0.6271 	 	 1.8320  	 0.5084  	 	 5.4789 	 0.1065  	 	 1.6197 	 0.5568  	 	 2.4127 	 0.4271  	 	 6.8398 	 0.0582
[2024/05/12 13:12:43] - 26 		 924.5 	 	 194.7 	 	 0.1000 	 	  100.0 		 1.3741 	 0.6309 	 	 1.8260  	 0.5106  	 	 5.4774 	 0.1060  	 	 1.5044 	 0.5862  	 	 2.2848 	 0.4524  	 	 6.7818 	 0.0607
[2024/05/12 13:31:22] - 27 		 924.3 	 	 194.8 	 	 0.1000 	 	  100.0 		 1.3568 	 0.6352 	 	 1.8119  	 0.5143  	 	 5.4985 	 0.1075  	 	 1.5477 	 0.5813  	 	 2.3211 	 0.4500  	 	 6.7940 	 0.0549
[2024/05/12 13:50:01] - 28 		 924.7 	 	 194.6 	 	 0.1000 	 	  100.0 		 1.3429 	 0.6388 	 	 1.7965  	 0.5198  	 	 5.4982 	 0.1084  	 	 1.4648 	 0.5982  	 	 2.1774 	 0.4711  	 	 6.5236 	 0.0632
[2024/05/12 14:08:38] - 29 		 922.8 	 	 194.2 	 	 0.1000 	 	  100.0 		 1.3417 	 0.6389 	 	 1.7951  	 0.5202  	 	 5.4785 	 0.1093  	 	 1.4108 	 0.6075  	 	 2.2702 	 0.4626  	 	 7.0679 	 0.0513
[2024/05/12 14:27:15] - 30 		 922.9 	 	 194.2 	 	 0.1000 	 	  100.0 		 1.3210 	 0.6463 	 	 1.7766  	 0.5234  	 	 5.4836 	 0.1107  	 	 1.4811 	 0.5941  	 	 2.2441 	 0.4664  	 	 6.7045 	 0.0619
[2024/05/12 14:45:53] - 31 		 923.3 	 	 194.6 	 	 0.1000 	 	  100.0 		 1.3097 	 0.6498 	 	 1.7682  	 0.5262  	 	 5.4888 	 0.1124  	 	 1.5003 	 0.5879  	 	 2.2342 	 0.4593  	 	 6.4724 	 0.0695
[2024/05/12 15:04:33] - 32 		 925.0 	 	 194.7 	 	 0.1000 	 	  100.0 		 1.3120 	 0.6486 	 	 1.7727  	 0.5253  	 	 5.5008 	 0.1109  	 	 1.4598 	 0.6033  	 	 2.1449 	 0.4724  	 	 6.3354 	 0.0659
[2024/05/12 15:23:12] - 33 		 925.3 	 	 193.8 	 	 0.1000 	 	  100.0 		 1.2964 	 0.6525 	 	 1.7552  	 0.5300  	 	 5.4955 	 0.1116  	 	 1.4546 	 0.5995  	 	 2.2494 	 0.4683  	 	 6.7435 	 0.0605
[2024/05/12 15:41:48] - 34 		 922.2 	 	 193.8 	 	 0.1000 	 	  100.0 		 1.2783 	 0.6571 	 	 1.7403  	 0.5312  	 	 5.4788 	 0.1156  	 	 1.4262 	 0.6062  	 	 2.2012 	 0.4646  	 	 6.5662 	 0.0633
[2024/05/12 16:00:24] - 35 		 922.2 	 	 193.6 	 	 0.1000 	 	  100.0 		 1.2810 	 0.6564 	 	 1.7418  	 0.5325  	 	 5.4913 	 0.1144  	 	 1.4379 	 0.6112  	 	 2.2975 	 0.4661  	 	 6.9599 	 0.0641
[2024/05/12 16:19:00] - 36 		 922.3 	 	 194.0 	 	 0.1000 	 	  100.0 		 1.2670 	 0.6593 	 	 1.7304  	 0.5348  	 	 5.4937 	 0.1147  	 	 1.4798 	 0.5978  	 	 2.1996 	 0.4634  	 	 6.4409 	 0.0617
[2024/05/12 16:37:37] - 37 		 922.9 	 	 194.1 	 	 0.1000 	 	  100.0 		 1.2585 	 0.6634 	 	 1.7229  	 0.5385  	 	 5.4951 	 0.1158  	 	 1.3970 	 0.6140  	 	 2.2891 	 0.4653  	 	 6.9994 	 0.0649
[2024/05/12 16:56:14] - 38 		 922.6 	 	 194.0 	 	 0.1000 	 	  100.0 		 1.2490 	 0.6652 	 	 1.7139  	 0.5391  	 	 5.5011 	 0.1160  	 	 1.4582 	 0.6001  	 	 2.2797 	 0.4653  	 	 6.8899 	 0.0597
[2024/05/12 17:14:50] - 39 		 921.9 	 	 194.0 	 	 0.1000 	 	  100.0 		 1.2539 	 0.6640 	 	 1.7169  	 0.5390  	 	 5.4845 	 0.1159  	 	 1.4611 	 0.5954  	 	 2.3461 	 0.4561  	 	 7.0970 	 0.0582
[2024/05/12 17:33:25] - 40 		 921.5 	 	 193.8 	 	 0.1000 	 	  100.0 		 1.2373 	 0.6684 	 	 1.7008  	 0.5437  	 	 5.4876 	 0.1181  	 	 1.4611 	 0.5968  	 	 2.3170 	 0.4512  	 	 6.8752 	 0.0634
[2024/05/12 17:52:02] - 41 		 922.9 	 	 193.9 	 	 0.1000 	 	  100.0 		 1.2359 	 0.6696 	 	 1.7030  	 0.5437  	 	 5.5006 	 0.1181  	 	 1.4696 	 0.5908  	 	 2.3012 	 0.4590  	 	 6.9396 	 0.0659
[2024/05/12 18:10:39] - 42 		 922.3 	 	 194.3 	 	 0.1000 	 	  100.0 		 1.2290 	 0.6727 	 	 1.6986  	 0.5425  	 	 5.5097 	 0.1193  	 	 1.5179 	 0.5824  	 	 2.3560 	 0.4435  	 	 6.9796 	 0.0568
[2024/05/12 18:29:16] - 43 		 922.9 	 	 194.1 	 	 0.1000 	 	  100.0 		 1.2208 	 0.6738 	 	 1.6855  	 0.5483  	 	 5.4911 	 0.1195  	 	 1.4196 	 0.6077  	 	 2.1737 	 0.4752  	 	 6.4947 	 0.0684
[2024/05/12 18:47:52] - 44 		 922.3 	 	 193.6 	 	 0.1000 	 	  100.0 		 1.2149 	 0.6740 	 	 1.6822  	 0.5472  	 	 5.4923 	 0.1188  	 	 1.4356 	 0.6076  	 	 2.1942 	 0.4735  	 	 6.5548 	 0.0642
[2024/05/12 19:06:29] - 45 		 922.1 	 	 194.2 	 	 0.1000 	 	  100.0 		 1.2042 	 0.6787 	 	 1.6740  	 0.5493  	 	 5.5087 	 0.1185  	 	 1.4594 	 0.6047  	 	 2.2234 	 0.4665  	 	 6.5592 	 0.0658
[2024/05/12 19:25:06] - 46 		 923.4 	 	 194.0 	 	 0.1000 	 	  100.0 		 1.1968 	 0.6793 	 	 1.6642  	 0.5530  	 	 5.4853 	 0.1221  	 	 1.4386 	 0.6061  	 	 2.3185 	 0.4545  	 	 7.1787 	 0.0498
[2024/05/12 19:43:43] - 47 		 922.4 	 	 194.0 	 	 0.1000 	 	  100.0 		 1.2019 	 0.6787 	 	 1.6717  	 0.5488  	 	 5.5190 	 0.1203  	 	 1.5603 	 0.5791  	 	 2.4870 	 0.4477  	 	 7.2019 	 0.0631
[2024/05/12 20:02:19] - 48 		 922.1 	 	 194.0 	 	 0.1000 	 	  100.0 		 1.1943 	 0.6797 	 	 1.6625  	 0.5528  	 	 5.5062 	 0.1215  	 	 1.4456 	 0.6062  	 	 2.2320 	 0.4717  	 	 6.6195 	 0.0700
[2024/05/12 20:20:54] - 49 		 921.8 	 	 193.9 	 	 0.1000 	 	  100.0 		 1.1785 	 0.6843 	 	 1.6513  	 0.5565  	 	 5.5227 	 0.1204  	 	 1.4571 	 0.5997  	 	 2.2824 	 0.4601  	 	 6.7532 	 0.0582
[2024/05/12 20:39:30] - 50 		 921.5 	 	 193.7 	 	 0.1000 	 	  100.0 		 1.1825 	 0.6821 	 	 1.6508  	 0.5539  	 	 5.4903 	 0.1209  	 	 1.4858 	 0.5986  	 	 2.4641 	 0.4563  	 	 7.4043 	 0.0676
[2024/05/12 20:58:05] - 51 		 921.3 	 	 194.3 	 	 0.1000 	 	  100.0 		 1.1843 	 0.6851 	 	 1.6559  	 0.5555  	 	 5.5010 	 0.1210  	 	 1.4558 	 0.5993  	 	 2.2446 	 0.4631  	 	 6.6848 	 0.0568
[2024/05/12 21:16:41] - 52 		 921.6 	 	 194.1 	 	 0.1000 	 	  100.0 		 1.1793 	 0.6837 	 	 1.6520  	 0.5541  	 	 5.5076 	 0.1217  	 	 1.4259 	 0.6071  	 	 2.2106 	 0.4798  	 	 6.6505 	 0.0625
[2024/05/12 21:35:16] - 53 		 921.3 	 	 193.7 	 	 0.1000 	 	  100.0 		 1.1678 	 0.6907 	 	 1.6426  	 0.5586  	 	 5.5321 	 0.1227  	 	 1.5151 	 0.5865  	 	 2.1838 	 0.4714  	 	 6.1881 	 0.0760
[2024/05/12 21:53:51] - 54 		 921.2 	 	 193.7 	 	 0.1000 	 	  100.0 		 1.1734 	 0.6852 	 	 1.6447  	 0.5545  	 	 5.4931 	 0.1245  	 	 1.4256 	 0.6058  	 	 2.1798 	 0.4759  	 	 6.5207 	 0.0677
[2024/05/12 22:12:26] - 55 		 921.1 	 	 193.7 	 	 0.1000 	 	  100.0 		 1.1597 	 0.6895 	 	 1.6324  	 0.5564  	 	 5.5051 	 0.1243  	 	 1.4006 	 0.6171  	 	 2.0567 	 0.4861  	 	 6.0981 	 0.0694
[2024/05/12 22:31:01] - 56 		 921.3 	 	 193.7 	 	 0.1000 	 	  100.0 		 1.1580 	 0.6901 	 	 1.6285  	 0.5601  	 	 5.4899 	 0.1270  	 	 1.4360 	 0.6102  	 	 2.3177 	 0.4702  	 	 7.1027 	 0.0603
[2024/05/12 22:49:36] - 57 		 921.1 	 	 194.0 	 	 0.1000 	 	  100.0 		 1.1602 	 0.6892 	 	 1.6331  	 0.5573  	 	 5.4865 	 0.1234  	 	 1.5198 	 0.5904  	 	 2.4976 	 0.4486  	 	 7.5227 	 0.0506
[2024/05/12 23:08:11] - 58 		 921.0 	 	 193.7 	 	 0.1000 	 	  100.0 		 1.1431 	 0.6950 	 	 1.6181  	 0.5631  	 	 5.5161 	 0.1262  	 	 1.3861 	 0.6201  	 	 2.4315 	 0.4661  	 	 7.5978 	 0.0595
[2024/05/12 23:26:46] - 59 		 921.2 	 	 193.8 	 	 0.1000 	 	  100.0 		 1.1403 	 0.6958 	 	 1.6123  	 0.5655  	 	 5.5076 	 0.1257  	 	 1.4070 	 0.6084  	 	 2.1759 	 0.4755  	 	 6.5925 	 0.0650
[2024/05/12 23:45:21] - 60 		 921.4 	 	 194.1 	 	 0.1000 	 	  100.0 		 1.1356 	 0.6954 	 	 1.6094  	 0.5655  	 	 5.5186 	 0.1255  	 	 1.4142 	 0.6103  	 	 2.3259 	 0.4650  	 	 7.1134 	 0.0587
[2024/05/13 00:03:57] - 61 		 922.2 	 	 193.8 	 	 0.1000 	 	  100.0 		 1.1441 	 0.6945 	 	 1.6201  	 0.5627  	 	 5.5080 	 0.1264  	 	 1.4096 	 0.6112  	 	 2.2904 	 0.4705  	 	 7.0820 	 0.0601
[2024/05/13 00:22:34] - 62 		 922.3 	 	 193.9 	 	 0.1000 	 	  100.0 		 1.1327 	 0.6990 	 	 1.6042  	 0.5690  	 	 5.5096 	 0.1257  	 	 1.4169 	 0.6082  	 	 2.1588 	 0.4746  	 	 6.4783 	 0.0683
[2024/05/13 00:41:09] - 63 		 921.1 	 	 193.9 	 	 0.1000 	 	  100.0 		 1.1501 	 0.6926 	 	 1.6234  	 0.5626  	 	 5.4881 	 0.1278  	 	 1.4281 	 0.6013  	 	 2.3103 	 0.4627  	 	 7.0409 	 0.0621
[2024/05/13 00:59:44] - 64 		 921.7 	 	 193.8 	 	 0.1000 	 	  100.0 		 1.1317 	 0.6983 	 	 1.6082  	 0.5648  	 	 5.5164 	 0.1268  	 	 1.4498 	 0.6009  	 	 2.3259 	 0.4615  	 	 6.9778 	 0.0578
[2024/05/13 01:18:19] - 65 		 921.3 	 	 194.0 	 	 0.1000 	 	  100.0 		 1.1273 	 0.6980 	 	 1.6048  	 0.5649  	 	 5.4947 	 0.1291  	 	 1.4899 	 0.5996  	 	 2.4727 	 0.4567  	 	 7.5359 	 0.0615
[2024/05/13 01:36:54] - 66 		 921.4 	 	 193.7 	 	 0.1000 	 	  100.0 		 1.1293 	 0.6987 	 	 1.6025  	 0.5678  	 	 5.4843 	 0.1273  	 	 1.4783 	 0.5969  	 	 2.2520 	 0.4596  	 	 6.6796 	 0.0636
[2024/05/13 01:55:30] - 67 		 921.7 	 	 193.8 	 	 0.1000 	 	  100.0 		 1.1194 	 0.6998 	 	 1.5943  	 0.5698  	 	 5.4919 	 0.1291  	 	 1.4591 	 0.5980  	 	 2.4477 	 0.4559  	 	 7.5006 	 0.0547
[2024/05/13 02:14:06] - 68 		 921.7 	 	 193.9 	 	 0.1000 	 	  100.0 		 1.1124 	 0.7043 	 	 1.5896  	 0.5702  	 	 5.5138 	 0.1286  	 	 1.4035 	 0.6128  	 	 2.2277 	 0.4729  	 	 6.7685 	 0.0650
[2024/05/13 02:32:41] - 69 		 921.3 	 	 193.8 	 	 0.1000 	 	  100.0 		 1.1181 	 0.7004 	 	 1.5967  	 0.5687  	 	 5.5048 	 0.1295  	 	 1.5606 	 0.5827  	 	 2.5976 	 0.4376  	 	 7.7190 	 0.0601
[2024/05/13 02:51:16] - 70 		 921.4 	 	 193.8 	 	 0.1000 	 	  100.0 		 1.1139 	 0.7025 	 	 1.5893  	 0.5696  	 	 5.5133 	 0.1283  	 	 1.3660 	 0.6245  	 	 2.2043 	 0.4773  	 	 6.7976 	 0.0648
[2024/05/13 03:09:51] - 71 		 921.4 	 	 193.7 	 	 0.1000 	 	  100.0 		 1.1137 	 0.7033 	 	 1.5918  	 0.5689  	 	 5.5268 	 0.1273  	 	 1.4203 	 0.6134  	 	 2.2111 	 0.4768  	 	 6.7115 	 0.0727
[2024/05/13 03:28:27] - 72 		 921.6 	 	 194.0 	 	 0.1000 	 	  100.0 		 1.1174 	 0.7023 	 	 1.5948  	 0.5696  	 	 5.5102 	 0.1287  	 	 1.3492 	 0.6272  	 	 2.2424 	 0.4835  	 	 7.0262 	 0.0698
