[2024/05/12 03:29:01] - Namespace(Inc_coeff=1, att_method='tanh', attack_iters=10, batch_size=128, beta_init=10.0, beta_max=100000.0, chkpt_iters=50, dataset='cifar100', epochs=201, epsilon=0.03137254901960784, eq_vol=1, eval_method='sign', lr_chechpoint1=100, lr_chechpoint2=150, lr_max=0.1, lr_schedule='piecewise', manual_step=0, model='WideResNet', momentum=0.9, norm='l_inf', pgd_alpha=2.0, random_init=1, resume=0, seed=1, train_mode='adv_train', tune_period=10, weight_decay=0.0005, width_factor=10)
[2024/05/12 03:29:07] - Epoch 	 Train Time 	 Test Time 	 LR 	 beta 	 	 Train Loss 	 Train Acc 	 Train Adv Loss 	 Train Adv Acc 	 Train Surrogate Loss 	 Train Surrogate Acc 	 Test Loss 	 Test Acc 	 Test Adv Loss 	 Test Adv Acc 	 Test Surrogate Loss 	 Test Surrogate Acc 
[2024/05/12 03:47:57] - 0 		 933.8 	 	 196.5 	 	 0.1000 	 	  10.0 		 3.9321 	 0.0897 	 	 3.9408  	 0.0885  	 	 5.0506 	 0.0243  	 	 3.5391 	 0.1478  	 	 3.5615 	 0.1452  	 	 5.5105 	 0.0183
[2024/05/12 04:06:41] - 1 		 928.2 	 	 196.0 	 	 0.1000 	 	  10.0 		 3.2789 	 0.1952 	 	 3.3135  	 0.1896  	 	 5.8435 	 0.0249  	 	 3.1167 	 0.2429  	 	 3.1863 	 0.2324  	 	 6.9735 	 0.0168
[2024/05/12 04:25:25] - 2 		 928.1 	 	 195.8 	 	 0.1000 	 	  10.0 		 2.8012 	 0.2866 	 	 2.8722  	 0.2735  	 	 6.7702 	 0.0210  	 	 2.6387 	 0.3181  	 	 2.8183 	 0.2936  	 	 9.3329 	 0.0071
[2024/05/12 04:44:11] - 3 		 928.5 	 	 196.6 	 	 0.1000 	 	  10.0 		 2.4435 	 0.3570 	 	 2.5489  	 0.3353  	 	 7.6615 	 0.0190  	 	 2.3111 	 0.3877  	 	 2.4851 	 0.3624  	 	 9.8828 	 0.0119
[2024/05/12 05:02:56] - 4 		 929.0 	 	 196.3 	 	 0.1000 	 	  10.0 		 2.2119 	 0.4113 	 	 2.3416  	 0.3839  	 	 8.2195 	 0.0203  	 	 2.0105 	 0.4562  	 	 2.1581 	 0.4228  	 	 9.3744 	 0.0128
[2024/05/12 05:21:41] - 5 		 929.0 	 	 196.2 	 	 0.1000 	 	  10.0 		 2.0320 	 0.4508 	 	 2.1783  	 0.4175  	 	 8.6046 	 0.0224  	 	 1.9266 	 0.4793  	 	 2.1598 	 0.4421  	 	 10.6612 	 0.0122
[2024/05/12 05:40:26] - 6 		 928.5 	 	 196.0 	 	 0.1000 	 	  10.0 		 1.8904 	 0.4867 	 	 2.0483  	 0.4505  	 	 8.8968 	 0.0231  	 	 1.8085 	 0.5096  	 	 2.0046 	 0.4728  	 	 10.8077 	 0.0108
[2024/05/12 05:59:11] - 7 		 928.6 	 	 196.4 	 	 0.1000 	 	  10.0 		 1.7962 	 0.5078 	 	 1.9639  	 0.4671  	 	 9.1153 	 0.0254  	 	 1.7253 	 0.5259  	 	 1.9347 	 0.4810  	 	 10.9918 	 0.0117
[2024/05/12 06:17:55] - 8 		 928.0 	 	 196.0 	 	 0.1000 	 	  10.0 		 1.7212 	 0.5253 	 	 1.8955  	 0.4851  	 	 9.2749 	 0.0265  	 	 1.8180 	 0.4982  	 	 2.0618 	 0.4562  	 	 11.4444 	 0.0052
[2024/05/12 06:36:38] - 9 		 927.8 	 	 195.8 	 	 0.1000 	 	  10.0 		 1.6561 	 0.5427 	 	 1.8367  	 0.4984  	 	 9.3995 	 0.0274  	 	 1.6841 	 0.5456  	 	 1.9542 	 0.4999  	 	 12.1254 	 0.0149
[2024/05/12 06:55:22] - 10 		 927.8 	 	 195.7 	 	 0.1000 	 	  10.0 		 1.5951 	 0.5581 	 	 1.7793  	 0.5126  	 	 9.5286 	 0.0298  	 	 1.6818 	 0.5435  	 	 1.9485 	 0.4979  	 	 12.4170 	 0.0108
[2024/05/12 07:14:06] - 11 		 928.0 	 	 195.6 	 	 0.1000 	 	  10.0 		 1.5472 	 0.5685 	 	 1.7350  	 0.5228  	 	 9.6087 	 0.0289  	 	 1.6653 	 0.5477  	 	 1.9014 	 0.5018  	 	 11.8885 	 0.0136
[2024/05/12 07:32:49] - 12 		 927.6 	 	 195.5 	 	 0.1000 	 	  10.0 		 1.5126 	 0.5789 	 	 1.7032  	 0.5320  	 	 9.6832 	 0.0303  	 	 1.5564 	 0.5707  	 	 1.9291 	 0.5062  	 	 14.2796 	 0.0116
[2024/05/12 07:51:32] - 13 		 927.2 	 	 195.5 	 	 0.1000 	 	  10.0 		 1.4623 	 0.5908 	 	 1.6550  	 0.5435  	 	 9.7322 	 0.0320  	 	 1.5413 	 0.5758  	 	 1.7710 	 0.5313  	 	 11.4775 	 0.0114
[2024/05/12 08:10:14] - 14 		 927.2 	 	 195.3 	 	 0.1000 	 	  10.0 		 1.4309 	 0.6023 	 	 1.6274  	 0.5532  	 	 9.8441 	 0.0311  	 	 1.5638 	 0.5690  	 	 1.8645 	 0.5138  	 	 12.4917 	 0.0073
[2024/05/12 08:28:57] - 15 		 927.7 	 	 195.4 	 	 0.1000 	 	  10.0 		 1.3956 	 0.6087 	 	 1.5952  	 0.5577  	 	 9.8898 	 0.0335  	 	 1.5191 	 0.5797  	 	 1.8206 	 0.5253  	 	 13.3070 	 0.0115
[2024/05/12 08:47:40] - 16 		 927.1 	 	 195.4 	 	 0.1000 	 	  10.0 		 1.3758 	 0.6167 	 	 1.5748  	 0.5641  	 	 9.8643 	 0.0344  	 	 1.4707 	 0.5875  	 	 1.7475 	 0.5377  	 	 12.4851 	 0.0168
[2024/05/12 09:06:22] - 17 		 927.2 	 	 195.4 	 	 0.1000 	 	  10.0 		 1.3403 	 0.6267 	 	 1.5426  	 0.5745  	 	 9.9514 	 0.0346  	 	 1.5272 	 0.5855  	 	 1.8462 	 0.5312  	 	 13.2352 	 0.0113
[2024/05/12 09:25:05] - 18 		 927.1 	 	 195.3 	 	 0.1000 	 	  10.0 		 1.3190 	 0.6277 	 	 1.5261  	 0.5743  	 	 10.0188 	 0.0349  	 	 1.4405 	 0.6034  	 	 1.7463 	 0.5455  	 	 12.6746 	 0.0116
[2024/05/12 09:43:47] - 19 		 927.1 	 	 195.4 	 	 0.1000 	 	  10.0 		 1.3049 	 0.6334 	 	 1.5077  	 0.5820  	 	 9.9453 	 0.0355  	 	 1.3820 	 0.6153  	 	 1.7085 	 0.5581  	 	 13.5259 	 0.0102
[2024/05/12 10:02:30] - 20 		 927.3 	 	 195.5 	 	 0.1000 	 	  10.0 		 1.2798 	 0.6411 	 	 1.4860  	 0.5876  	 	 10.0529 	 0.0378  	 	 1.3899 	 0.6146  	 	 1.6952 	 0.5526  	 	 12.5105 	 0.0085
[2024/05/12 10:21:13] - 21 		 927.3 	 	 195.2 	 	 0.1000 	 	  10.0 		 1.2555 	 0.6479 	 	 1.4636  	 0.5942  	 	 10.1290 	 0.0367  	 	 1.4756 	 0.5947  	 	 1.8057 	 0.5360  	 	 13.7272 	 0.0113
[2024/05/12 10:39:55] - 22 		 927.0 	 	 195.4 	 	 0.1000 	 	  10.0 		 1.2448 	 0.6490 	 	 1.4528  	 0.5928  	 	 10.0923 	 0.0389  	 	 1.3876 	 0.6166  	 	 1.6869 	 0.5630  	 	 12.9992 	 0.0076
[2024/05/12 10:58:37] - 23 		 927.0 	 	 195.4 	 	 0.1000 	 	  10.0 		 1.2277 	 0.6544 	 	 1.4377  	 0.5991  	 	 10.1150 	 0.0403  	 	 1.4026 	 0.6154  	 	 1.7472 	 0.5565  	 	 13.8272 	 0.0119
