[2024/05/17 21:57:06] - Namespace(att_method='norm_steep', attack_iters=10, batch_size=128, beta=4.0, chkpt_iters=50, dataset='svhn', epochs=201, epsilon=0.03137254901960784, eq_vol=1, eval_method='sign', lr_chechpoint1=100, lr_chechpoint2=150, lr_max=0.01, lr_schedule='piecewise', manual_step=0, model='PreRes18_standard', momentum=0.9, norm='l_inf', pgd_alpha=1.0, random_init=1, resume=0, seed=1, train_mode='adv_train', weight_decay=0.0005, width_factor=10)
[2024/05/17 21:57:11] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Adv Loss 	 Train Adv Acc 	 Train Surrogate Loss 	 Train Surrogate Acc 	 Test Loss 	 Test Acc 	 Test Adv Loss 	 Test Adv Acc 	 Test Surrogate Loss 	 Test Surrogate Acc 
[2024/05/17 22:04:33] - 0 		 315.1 	 	 126.3 	 	 0.0100  		 2.2482 	 0.1859 	 	 2.2722  	 0.1822  	 	 2.2766 	 0.1817  	 	 2.2177 	 0.1966  	 	 2.2341 	 0.1960  	 	 2.2377 	 0.1959
[2024/05/17 22:11:50] - 1 		 316.1 	 	 121.0 	 	 0.0100  		 2.2070 	 0.2010 	 	 2.2347  	 0.1904  	 	 2.2405 	 0.1884  	 	 2.0141 	 0.3254  	 	 2.1392 	 0.2503  	 	 2.1686 	 0.2333
[2024/05/17 22:19:02] - 2 		 302.8 	 	 129.3 	 	 0.0100  		 1.3456 	 0.5991 	 	 1.7849  	 0.3753  	 	 1.8932 	 0.3355  	 	 0.8248 	 0.7981  	 	 1.4091 	 0.5299  	 	 1.5419 	 0.4814
[2024/05/17 22:26:32] - 3 		 321.8 	 	 128.0 	 	 0.0100  		 0.7371 	 0.8232 	 	 1.3531  	 0.5365  	 	 1.5064 	 0.4844  	 	 0.6347 	 0.8580  	 	 1.2866 	 0.5764  	 	 1.4455 	 0.5185
[2024/05/17 22:34:01] - 4 		 321.2 	 	 128.6 	 	 0.0100  		 0.6242 	 0.8554 	 	 1.2341  	 0.5774  	 	 1.3889 	 0.5227  	 	 0.5436 	 0.8686  	 	 1.2226 	 0.5867  	 	 1.3977 	 0.5287
[2024/05/17 22:41:31] - 5 		 321.6 	 	 127.5 	 	 0.0100  		 0.5670 	 0.8720 	 	 1.1656  	 0.5990  	 	 1.3207 	 0.5449  	 	 0.5249 	 0.8770  	 	 1.1847 	 0.5984  	 	 1.3539 	 0.5448
[2024/05/17 22:49:00] - 6 		 320.2 	 	 129.4 	 	 0.0100  		 0.5331 	 0.8812 	 	 1.1241  	 0.6133  	 	 1.2803 	 0.5602  	 	 0.4646 	 0.8997  	 	 1.1770 	 0.6067  	 	 1.3751 	 0.5421
[2024/05/17 22:56:30] - 7 		 321.9 	 	 128.1 	 	 0.0100  		 0.5016 	 0.8896 	 	 1.0830  	 0.6260  	 	 1.2392 	 0.5733  	 	 0.4949 	 0.8900  	 	 1.1173 	 0.6247  	 	 1.2844 	 0.5687
[2024/05/17 23:04:24] - 8 		 342.4 	 	 132.0 	 	 0.0100  		 0.4785 	 0.8962 	 	 1.0544  	 0.6350  	 	 1.2122 	 0.5812  	 	 0.4005 	 0.9053  	 	 1.1249 	 0.6194  	 	 1.3346 	 0.5583
[2024/05/17 23:11:44] - 9 		 311.9 	 	 127.5 	 	 0.0100  		 0.4596 	 0.9010 	 	 1.0281  	 0.6424  	 	 1.1866 	 0.5895  	 	 0.4950 	 0.9014  	 	 1.1004 	 0.6369  	 	 1.2577 	 0.5837
[2024/05/17 23:19:13] - 10 		 319.8 	 	 128.8 	 	 0.0100  		 0.4436 	 0.9068 	 	 1.0071  	 0.6483  	 	 1.1661 	 0.5936  	 	 0.4654 	 0.9000  	 	 1.1166 	 0.6330  	 	 1.2924 	 0.5811
[2024/05/17 23:26:40] - 11 		 320.2 	 	 127.7 	 	 0.0100  		 0.4281 	 0.9090 	 	 0.9859  	 0.6570  	 	 1.1470 	 0.6014  	 	 0.5162 	 0.8748  	 	 1.1436 	 0.6150  	 	 1.3098 	 0.5600
[2024/05/17 23:34:28] - 12 		 333.4 	 	 133.7 	 	 0.0100  		 0.4149 	 0.9130 	 	 0.9664  	 0.6608  	 	 1.1276 	 0.6061  	 	 0.4056 	 0.9084  	 	 1.1271 	 0.6133  	 	 1.3463 	 0.5492
[2024/05/17 23:42:17] - 13 		 331.0 	 	 138.8 	 	 0.0100  		 0.4030 	 0.9152 	 	 0.9475  	 0.6683  	 	 1.1086 	 0.6134  	 	 0.4543 	 0.9038  	 	 1.1006 	 0.6300  	 	 1.2883 	 0.5648
[2024/05/17 23:50:30] - 14 		 353.7 	 	 138.5 	 	 0.0100  		 0.3918 	 0.9185 	 	 0.9308  	 0.6723  	 	 1.0932 	 0.6169  	 	 0.4225 	 0.9085  	 	 1.0598 	 0.6436  	 	 1.2327 	 0.5892
[2024/05/17 23:57:58] - 15 		 320.4 	 	 127.9 	 	 0.0100  		 0.3806 	 0.9216 	 	 0.9150  	 0.6782  	 	 1.0781 	 0.6211  	 	 0.3627 	 0.9194  	 	 1.0999 	 0.6301  	 	 1.3304 	 0.5603
[2024/05/18 00:05:26] - 16 		 319.8 	 	 128.1 	 	 0.0100  		 0.3705 	 0.9238 	 	 0.8991  	 0.6810  	 	 1.0630 	 0.6224  	 	 0.4136 	 0.9028  	 	 1.1065 	 0.6339  	 	 1.3086 	 0.5764
[2024/05/18 00:12:54] - 17 		 319.9 	 	 127.9 	 	 0.0100  		 0.3605 	 0.9265 	 	 0.8833  	 0.6855  	 	 1.0478 	 0.6277  	 	 0.3756 	 0.9201  	 	 1.0734 	 0.6482  	 	 1.2804 	 0.5867
[2024/05/18 00:20:20] - 18 		 318.1 	 	 128.0 	 	 0.0100  		 0.3499 	 0.9283 	 	 0.8685  	 0.6915  	 	 1.0342 	 0.6325  	 	 0.4640 	 0.8959  	 	 1.0860 	 0.6398  	 	 1.2619 	 0.5822
[2024/05/18 00:27:46] - 19 		 318.2 	 	 127.9 	 	 0.0100  		 0.3420 	 0.9300 	 	 0.8537  	 0.6943  	 	 1.0194 	 0.6352  	 	 0.3947 	 0.9200  	 	 1.0749 	 0.6427  	 	 1.2761 	 0.5809
[2024/05/18 00:35:12] - 20 		 318.6 	 	 127.6 	 	 0.0100  		 0.3333 	 0.9332 	 	 0.8408  	 0.6984  	 	 1.0074 	 0.6391  	 	 0.3643 	 0.9142  	 	 1.1444 	 0.6189  	 	 1.3937 	 0.5505
[2024/05/18 00:42:39] - 21 		 319.0 	 	 128.0 	 	 0.0100  		 0.3247 	 0.9347 	 	 0.8293  	 0.7017  	 	 0.9978 	 0.6428  	 	 0.3257 	 0.9216  	 	 1.1840 	 0.6164  	 	 1.4751 	 0.5434
[2024/05/18 00:50:07] - 22 		 318.7 	 	 128.7 	 	 0.0100  		 0.3175 	 0.9377 	 	 0.8154  	 0.7045  	 	 0.9842 	 0.6440  	 	 0.3603 	 0.9136  	 	 1.1517 	 0.6217  	 	 1.4067 	 0.5568
[2024/05/18 00:57:33] - 23 		 317.7 	 	 128.2 	 	 0.0100  		 0.3082 	 0.9387 	 	 0.8000  	 0.7092  	 	 0.9699 	 0.6477  	 	 0.4330 	 0.9062  	 	 1.0653 	 0.6418  	 	 1.2436 	 0.5875
[2024/05/18 01:05:12] - 24 		 318.8 	 	 140.0 	 	 0.0100  		 0.2999 	 0.9406 	 	 0.7868  	 0.7128  	 	 0.9575 	 0.6524  	 	 0.4274 	 0.9068  	 	 1.0962 	 0.6281  	 	 1.2982 	 0.5655
[2024/05/18 01:12:54] - 25 		 333.9 	 	 128.0 	 	 0.0100  		 0.2930 	 0.9431 	 	 0.7771  	 0.7162  	 	 0.9488 	 0.6545  	 	 0.3339 	 0.9227  	 	 1.1408 	 0.6263  	 	 1.4103 	 0.5575
[2024/05/18 01:20:20] - 26 		 318.9 	 	 127.5 	 	 0.0100  		 0.2858 	 0.9444 	 	 0.7641  	 0.7207  	 	 0.9361 	 0.6574  	 	 0.3835 	 0.9106  	 	 1.1763 	 0.6170  	 	 1.4240 	 0.5522
[2024/05/18 01:27:38] - 27 		 304.1 	 	 134.1 	 	 0.0100  		 0.2766 	 0.9464 	 	 0.7458  	 0.7258  	 	 0.9180 	 0.6630  	 	 0.3763 	 0.9027  	 	 1.2582 	 0.6006  	 	 1.5442 	 0.5338
[2024/05/18 01:35:01] - 28 		 314.9 	 	 127.4 	 	 0.0100  		 0.2701 	 0.9474 	 	 0.7374  	 0.7275  	 	 0.9105 	 0.6639  	 	 0.3916 	 0.9085  	 	 1.1073 	 0.6305  	 	 1.3347 	 0.5663
[2024/05/18 01:42:13] - 29 		 308.3 	 	 123.8 	 	 0.0100  		 0.2617 	 0.9499 	 	 0.7237  	 0.7305  	 	 0.8979 	 0.6672  	 	 0.4205 	 0.9020  	 	 1.1494 	 0.6360  	 	 1.3735 	 0.5712
[2024/05/18 01:49:36] - 30 		 315.6 	 	 127.8 	 	 0.0100  		 0.2546 	 0.9523 	 	 0.7094  	 0.7350  	 	 0.8834 	 0.6716  	 	 0.3496 	 0.9152  	 	 1.1923 	 0.6145  	 	 1.4844 	 0.5451
[2024/05/18 01:57:04] - 31 		 320.0 	 	 128.1 	 	 0.0100  		 0.2481 	 0.9528 	 	 0.6996  	 0.7375  	 	 0.8747 	 0.6744  	 	 0.3118 	 0.9208  	 	 1.2449 	 0.6195  	 	 1.5863 	 0.5451
[2024/05/18 02:04:33] - 32 		 320.1 	 	 128.5 	 	 0.0100  		 0.2392 	 0.9548 	 	 0.6828  	 0.7431  	 	 0.8580 	 0.6780  	 	 0.3424 	 0.9151  	 	 1.2863 	 0.6094  	 	 1.6132 	 0.5376
[2024/05/18 02:11:59] - 33 		 319.0 	 	 127.2 	 	 0.0100  		 0.2346 	 0.9561 	 	 0.6776  	 0.7434  	 	 0.8555 	 0.6778  	 	 0.4021 	 0.9071  	 	 1.1703 	 0.6236  	 	 1.4222 	 0.5571
[2024/05/18 02:19:09] - 34 		 308.3 	 	 120.8 	 	 0.0100  		 0.2270 	 0.9578 	 	 0.6617  	 0.7480  	 	 0.8387 	 0.6819  	 	 0.3765 	 0.9150  	 	 1.1793 	 0.6237  	 	 1.4495 	 0.5536
[2024/05/18 02:26:10] - 35 		 300.7 	 	 120.5 	 	 0.0100  		 0.2213 	 0.9599 	 	 0.6505  	 0.7512  	 	 0.8274 	 0.6848  	 	 0.4008 	 0.8996  	 	 1.2273 	 0.6157  	 	 1.5045 	 0.5514
[2024/05/18 02:33:11] - 36 		 300.4 	 	 120.9 	 	 0.0100  		 0.2145 	 0.9609 	 	 0.6392  	 0.7553  	 	 0.8170 	 0.6876  	 	 0.3441 	 0.9117  	 	 1.3261 	 0.6004  	 	 1.6965 	 0.5211
[2024/05/18 02:40:14] - 37 		 302.6 	 	 119.8 	 	 0.0100  		 0.2092 	 0.9620 	 	 0.6311  	 0.7578  	 	 0.8104 	 0.6905  	 	 0.3338 	 0.9158  	 	 1.3313 	 0.6063  	 	 1.6914 	 0.5345
[2024/05/18 02:47:16] - 38 		 300.9 	 	 121.2 	 	 0.0100  		 0.2054 	 0.9634 	 	 0.6255  	 0.7595  	 	 0.8054 	 0.6914  	 	 0.3737 	 0.9060  	 	 1.2534 	 0.6135  	 	 1.5671 	 0.5424
[2024/05/18 02:54:20] - 39 		 304.5 	 	 120.0 	 	 0.0100  		 0.1989 	 0.9645 	 	 0.6123  	 0.7629  	 	 0.7926 	 0.6946  	 	 0.3327 	 0.9171  	 	 1.3456 	 0.6015  	 	 1.7122 	 0.5292
[2024/05/18 03:01:19] - 40 		 298.4 	 	 120.5 	 	 0.0100  		 0.1918 	 0.9661 	 	 0.5979  	 0.7673  	 	 0.7780 	 0.6978  	 	 0.3821 	 0.9083  	 	 1.2562 	 0.6112  	 	 1.5662 	 0.5426
[2024/05/18 03:08:24] - 41 		 302.6 	 	 121.5 	 	 0.0100  		 0.1856 	 0.9676 	 	 0.5886  	 0.7691  	 	 0.7695 	 0.7011  	 	 0.4009 	 0.8987  	 	 1.3127 	 0.6001  	 	 1.6375 	 0.5332
[2024/05/18 03:15:26] - 42 		 301.1 	 	 121.3 	 	 0.0100  		 0.1803 	 0.9691 	 	 0.5775  	 0.7731  	 	 0.7587 	 0.7045  	 	 0.3814 	 0.8992  	 	 1.3424 	 0.6023  	 	 1.6881 	 0.5294
[2024/05/18 03:22:29] - 43 		 301.8 	 	 121.4 	 	 0.0100  		 0.1756 	 0.9705 	 	 0.5693  	 0.7759  	 	 0.7511 	 0.7069  	 	 0.3624 	 0.9075  	 	 1.3516 	 0.6020  	 	 1.7164 	 0.5293
[2024/05/18 03:29:30] - 44 		 301.2 	 	 119.2 	 	 0.0100  		 0.1720 	 0.9717 	 	 0.5627  	 0.7767  	 	 0.7454 	 0.7066  	 	 0.3334 	 0.9139  	 	 1.3194 	 0.6050  	 	 1.6899 	 0.5287
[2024/05/18 03:36:37] - 45 		 306.2 	 	 121.2 	 	 0.0100  		 0.1668 	 0.9724 	 	 0.5545  	 0.7790  	 	 0.7386 	 0.7084  	 	 0.3775 	 0.9088  	 	 1.2818 	 0.6037  	 	 1.6075 	 0.5293
[2024/05/18 03:43:40] - 46 		 301.5 	 	 121.1 	 	 0.0100  		 0.1633 	 0.9736 	 	 0.5488  	 0.7792  	 	 0.7342 	 0.7088  	 	 0.3540 	 0.9066  	 	 1.3638 	 0.5995  	 	 1.7377 	 0.5275
[2024/05/18 03:51:14] - 47 		 324.2 	 	 129.6 	 	 0.0100  		 0.1546 	 0.9753 	 	 0.5276  	 0.7885  	 	 0.7105 	 0.7177  	 	 0.4041 	 0.8976  	 	 1.3101 	 0.6101  	 	 1.6320 	 0.5416
[2024/05/18 03:58:53] - 48 		 323.3 	 	 135.6 	 	 0.0100  		 0.1524 	 0.9755 	 	 0.5272  	 0.7884  	 	 0.7129 	 0.7169  	 	 0.3804 	 0.8984  	 	 1.4148 	 0.5896  	 	 1.7949 	 0.5200
[2024/05/18 04:06:33] - 49 		 330.8 	 	 129.5 	 	 0.0100  		 0.1495 	 0.9766 	 	 0.5222  	 0.7880  	 	 0.7082 	 0.7172  	 	 0.3248 	 0.9121  	 	 1.5650 	 0.5778  	 	 2.0496 	 0.4965
[2024/05/18 04:14:07] - 50 		 324.6 	 	 129.3 	 	 0.0100  		 0.1448 	 0.9779 	 	 0.5155  	 0.7920  	 	 0.7044 	 0.7180  	 	 0.3557 	 0.9055  	 	 1.4640 	 0.5929  	 	 1.8736 	 0.5184
[2024/05/18 04:21:40] - 51 		 323.6 	 	 129.5 	 	 0.0100  		 0.1408 	 0.9786 	 	 0.5047  	 0.7943  	 	 0.6916 	 0.7224  	 	 0.3773 	 0.8931  	 	 1.4207 	 0.5904  	 	 1.7988 	 0.5195
[2024/05/18 04:29:13] - 52 		 324.0 	 	 129.1 	 	 0.0100  		 0.1365 	 0.9789 	 	 0.4991  	 0.7960  	 	 0.6879 	 0.7221  	 	 0.3669 	 0.9032  	 	 1.5121 	 0.5772  	 	 1.9581 	 0.4954
